"Date","Price","Open","High","Low","Change %"
"May 19, 2017","2.3662","2.3906","2.3929","2.3660","-0.94%"
"May 18, 2017","2.3887","2.3796","2.3960","2.3723","0.50%"
"May 17, 2017","2.3769","2.3914","2.3937","2.3758","-0.70%"
"May 16, 2017","2.3936","2.4187","2.4190","2.3915","-0.96%"
"May 15, 2017","2.4167","2.4276","2.4285","2.4123","-0.40%"
"May 12, 2017","2.4264","2.4434","2.4453","2.4257","-0.63%"
"May 11, 2017","2.4419","2.4400","2.4470","2.4346","0.06%"
"May 10, 2017","2.4405","2.4383","2.4441","2.4314","0.03%"
"May 09, 2017","2.4398","2.4291","2.4432","2.4230","0.45%"
"May 08, 2017","2.4289","2.4082","2.4301","2.4026","0.71%"
"May 05, 2017","2.4118","2.4164","2.4252","2.4112","-0.12%"
"May 04, 2017","2.4147","2.4362","2.4391","2.4121","-0.94%"
"May 03, 2017","2.4377","2.4278","2.4394","2.4223","0.42%"
"May 02, 2017","2.4276","2.4356","2.4381","2.4263","-0.25%"
"May 01, 2017","2.4337","2.4318","2.4370","2.4259","-0.05%"
"Apr 28, 2017","2.4348","2.4428","2.4474","2.4270","-0.23%"
"Apr 27, 2017","2.4405","2.4339","2.4460","2.4253","0.32%"
"Apr 26, 2017","2.4326","2.4272","2.4431","2.4184","0.21%"
"Apr 25, 2017","2.4276","2.4389","2.4433","2.4221","-0.54%"
"Apr 24, 2017","2.4409","2.4301","2.4512","2.4226","-1.27%"
"Apr 21, 2017","2.4724","2.4759","2.4860","2.4720","-0.12%"
"Apr 20, 2017","2.4754","2.4764","2.4781","2.4621","-0.07%"
"Apr 19, 2017","2.4771","2.4726","2.4802","2.4676","0.18%"
"Apr 18, 2017","2.4727","2.4938","2.4947","2.4717","-0.82%"
"Apr 17, 2017","2.4931","2.5006","2.5032","2.4857","-0.26%"
"Apr 14, 2017","2.4996","2.5027","2.5053","2.4962","-0.02%"
"Apr 13, 2017","2.5000","2.4880","2.5017","2.4810","0.48%"
"Apr 12, 2017","2.4881","2.5029","2.5049","2.4841","-0.60%"
"Apr 11, 2017","2.5030","2.5034","2.5088","2.4949","-0.04%"
"Apr 10, 2017","2.5041","2.5063","2.5119","2.5013","0.06%"
"Apr 07, 2017","2.5025","2.4903","2.5124","2.4886","0.51%"
"Apr 06, 2017","2.4899","2.4928","2.5004","2.4830","0.09%"
"Apr 05, 2017","2.4876","2.4785","2.4939","2.4755","0.16%"
"Apr 04, 2017","2.4836","2.4848","2.4983","2.4825","-0.06%"
"Apr 03, 2017","2.4851","2.4906","2.4964","2.4823","-0.15%"
"Mar 31, 2017","2.4889","2.4859","2.4926","2.4817","0.20%"
"Mar 30, 2017","2.4840","2.4646","2.4876","2.4615","0.84%"
"Mar 29, 2017","2.4634","2.4533","2.4721","2.4474","0.41%"
"Mar 28, 2017","2.4533","2.4421","2.4585","2.4377","0.46%"
"Mar 27, 2017","2.4421","2.4588","2.4588","2.4341","-0.58%"
"Mar 24, 2017","2.4564","2.4634","2.4701","2.4550","-0.17%"
"Mar 23, 2017","2.4606","2.4581","2.4651","2.4541","0.12%"
"Mar 22, 2017","2.4577","2.4550","2.4630","2.4482","0.17%"
"Mar 21, 2017","2.4535","2.4693","2.4735","2.4503","-0.70%"
"Mar 20, 2017","2.4709","2.4671","2.4747","2.4609","0.03%"
"Mar 17, 2017","2.4702","2.4652","2.4756","2.4595","0.23%"
"Mar 16, 2017","2.4645","2.4722","2.4795","2.4632","-0.31%"
"Mar 15, 2017","2.4721","2.5030","2.5034","2.4707","-1.17%"
"Mar 14, 2017","2.5013","2.4899","2.5025","2.4836","0.41%"
"Mar 13, 2017","2.4910","2.4859","2.4914","2.4750","0.27%"
"Mar 10, 2017","2.4844","2.5057","2.5120","2.4804","-0.91%"
"Mar 09, 2017","2.5072","2.5183","2.5253","2.5034","-0.35%"
"Mar 08, 2017","2.5160","2.5086","2.5210","2.5065","0.23%"
"Mar 07, 2017","2.5103","2.5111","2.5174","2.5040","0.16%"
"Mar 06, 2017","2.5064","2.4991","2.5088","2.4932","0.44%"
"Mar 03, 2017","2.4955","2.5233","2.5292","2.4953","-1.09%"
"Mar 02, 2017","2.5231","2.5149","2.5316","2.5111","0.39%"
"Mar 01, 2017","2.5133","2.5063","2.5257","2.5029","0.28%"
"Feb 28, 2017","2.5063","2.5046","2.5112","2.4966","0.03%"
"Feb 27, 2017","2.5055","2.5137","2.5164","2.4975","-0.22%"
"Feb 24, 2017","2.5111","2.5006","2.5130","2.4971","0.24%"
"Feb 23, 2017","2.5051","2.5107","2.5223","2.5050","-0.25%"
"Feb 22, 2017","2.5114","2.5170","2.5328","2.5101","-0.22%"
"Feb 21, 2017","2.5170","2.5000","2.5244","2.4981","0.71%"
"Feb 20, 2017","2.4992","2.5021","2.5051","2.4930","0.01%"
"Feb 17, 2017","2.4989","2.4829","2.5016","2.4797","0.56%"
"Feb 16, 2017","2.4851","2.4998","2.5055","2.4844","-0.68%"
"Feb 15, 2017","2.5022","2.5079","2.5263","2.5022","-0.23%"
"Feb 14, 2017","2.5080","2.5036","2.5166","2.4987","0.18%"
"Feb 13, 2017","2.5034","2.4982","2.5091","2.4929","0.39%"
"Feb 10, 2017","2.4936","2.4901","2.5008","2.4834","0.18%"
"Feb 09, 2017","2.4891","2.4764","2.4919","2.4750","0.36%"
"Feb 08, 2017","2.4801","2.4861","2.4980","2.4789","-0.14%"
