"ORIGIN_AIRPORT_ID","DEST_AIRPORT_ID",
10397,11298,
10397,11423,
10397,11433,
10397,11481,
10397,11540,
10397,11618,
10397,11624,
10397,11641,
10397,11697,
10397,11721,
10397,11775,
10397,11953,
10397,11973,
10397,11977,
10397,11986,
10397,11995,
10397,11996,
10397,12173,
10397,12191,
10397,12197,
10397,12217,
10397,12264,
10397,12264,
10397,12266,
10397,12278,
10397,12323,
10397,12339,
10397,12448,
10397,12451,
10397,12478,
10397,12889,
10397,12892,
10397,12945,
10397,12951,
10397,12953,
10397,12992,
10397,13198,
10397,13204,
10397,13230,
10397,13232,
10397,13244,
10397,13296,
10397,13303,
10397,13342,
10397,13342,
10397,13360,
10397,13422,
10397,13485,
10397,13487,
10397,13495,
10397,13495,
10397,13577,
10397,13796,
10397,13851,
10397,13871,
10397,13891,
10397,13930,
10397,13930,
10397,13931,
10397,14027,
10397,14057,
10397,14057,
10397,14098,
10397,14100,
10397,14107,
10397,14122,
10397,14193,
10397,14275,
10397,14307,
10397,14321,
10397,14492,
10397,14524,
10397,14524,
10397,14574,
10397,14576,
10397,14635,
10397,14679,
10397,14683,
10397,14683,
10397,14685,
10397,14696,
10397,14730,
10397,14747,
10397,14771,
10397,14831,
10397,14843,
10397,14869,
10397,14893,
10397,14893,
10397,14908,
10397,14986,
10397,15016,
10397,15024,
10397,15096,
10397,15249,
10397,15304,
10397,15304,
10397,15323,
10397,15370,
10397,15376,
10397,15412,
10397,15624,
10397,15919,
10397,12266,
10397,13930,
10397,13377,
10397,14122,
10405,10551,
10405,12831,
10405,10551,
10405,10551,
10405,12831,
10405,10405,
10405,10551,
10405,10551,
10405,11492,
10405,12831,
10405,13770,
10408,11433,
10408,11109,
10408,11292,
10408,13930,
10408,13232,
10408,15167,
10408,10397,
10408,11433,
10408,13930,
10408,11433,
10408,13487,
10408,13930,
10408,12173,
10408,12339,
10408,13796,
10408,10397,
10408,10466,
10408,12889,
10408,14082,
10408,14112,
10408,14761,
10409,11292,
10409,13930,
10414,10721,
10416,10551,
10416,11550,
10416,14234,
10416,14718,
10416,15085,
10416,10416,
10416,10551,
10416,11550,
10416,11550,
10416,12769,
10416,12807,
10416,12807,
10416,13434,
10416,14234,
10416,15085,
10416,15085,
10416,15554,
10423,12339,
10423,15412,
10423,11298,
10423,14730,
