,User,Location,DTG,Message
80,_LadyKayLee,Entrepreneur,2020-10-28 02:47:28,I just wanted to point out the terms they still use on .gov sites. This snippet is from #BLM thanks for coming to my ted talk https://t.co/L7E8qCMV6b https://t.co/M9bj4weOPs
81,EugJHawk,"Eugene, OR",2020-10-28 02:47:18,"@realDonaldTrump #BLM
#BidenHarrisLandslide
#TrumpKillsEveryDay
#TrumpSurrendered
#IsThisRoundingTheCorner
 The racist cretin flashes the white power sign constantly and thinks he's blowing it by everybody else. https://t.co/Jb8975b8Xb"
82,WillontheRadio,"Toronto, Ontario",2020-10-28 02:46:56,"🚨 #Philadelphia Dollar Tree Looting 

#Philadelphiariots #phillyriots #phillypolice #BlackLivesMatter #BLM #Election2020 #VOTE
#USARevolts #usariots

https://t.co/vLVdGJOcA9"
83,rowgd,"Tennessee, USA",2020-10-28 02:46:55,that was an incredibly well written amd well spoken and well acted scene #ThisIsUs #BLM #IAmExhausted https://t.co/NHCYO7ZDEG
84,YeetedInto,,2020-10-28 02:46:51,"Visual representation of #BLM 

Literal dumpster fire https://t.co/U2rbkWJrBP"
85,No_Foo_Len_Yu,Southern Oregon USA,2020-10-28 02:46:48,"Say His Name #bobulinsky 
#BLM 
B_idens
L_aptop 
M_atters"
86,_JoGrinds,22504⚜️,2020-10-28 02:46:46,I ain’t watch the awards but I caught Caresha performance with my cat eye #blm
87,AmCuriousNJ,"Hudson County, NJ, USA",2020-10-28 02:46:42,"#BLM reports 947 #Horses gathered so far in Red Desert Complex operation, 90 returned https://t.co/u5O7hoUpal #Animals via @oilcitywyo"
88,stanley94385888,Basement,2020-10-28 02:46:40,"Please... I’m new here. 
I could use some love, some good suggestions of ppl to follow. TY 🙏#BLM #EndRacism #fucktrump #BidenHarris2020 #COVIDIOTS #antiracism #LGBTQfriendly #GenX #ACAB ✊🏻✊🏾✊✊🏿☮️💯
🏳️‍🌈"
89,TraceTrance,,2020-10-28 02:46:13,Bet @MichelleObama is pretending that this isn’t happening. #BLM #BlackLivesMatter https://t.co/A7J3om9tRp
